Gene	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample39	Sample40
DDIT3	224.43	431.68	244.09	601.55	403.35	209.68	205.82	292.25	161.84	777.95	224.06	265.77	258.44	158.38	260.09	193.41	164	304.98	107.14	436.89	283.46	166.92	196.18	398.11	156.91	188.42	279.51	454.09	269.07	489.54	165.49	450.17	384.57	242.73	495.41	114.24	158.56	132.75	138.28	127.64
DDX3X	7233.28	12552.73	10438.63	6862.83	5969.61	6844.59	5574.31	7137.31	9079.8	6003.34	5893.59	15259.77	6471.36	4044.49	4165.07	4775.34	7676.43	7534.22	6826.87	11912.68	6650.3	4449.26	6908.84	5266.85	6062.48	5237.07	6506.58	6811.32	6993.76	8885.31	4551.03	13538.6	10728.42	7807.36	7504.88	5268.46	8773.69	10197.99	4961.93	3640.83
DDX5	16704.14	18065.68	14526.76	14297.88	11524.88	17385.19	19738.77	16934.57	17057.07	15019.91	12392.23	31624.47	10585.85	9164.73	9170.57	8954.5	10663.19	19933.48	8163.44	20877.81	10995	10383.28	10909.24	11076.87	14152.74	12249.37	13742.02	12902.71	10434.04	10587.5	15885.68	25402.93	15658.29	15962.75	14392.75	8621.35	17145.69	18139.15	9799.14	9270.76
DFFB	251.47	257.31	311.04	383.31	907.54	561.03	698.93	248.87	497.32	269.59	916.09	474.95	285.21	238.21	656.3	767.64	541.87	287.9	739.42	485.17	305.67	886.35	174.38	903.53	310.53	341.19	263.59	209.8	575.52	172.78	413.73	441.96	631.4	636.91	342.78	592.47	348.83	362.06	206.07	311.16
DYNLL1	3718.04	2927.13	5309.98	8570.29	5998.95	3141.78	6860.69	9105.44	6237.51	2682.02	4814.9	8566.24	2503.08	4093.91	2472.67	1364.81	1207.28	3654.88	5297.1	6426.21	2667.43	3142.28	2873.15	5452.32	5157.22	4409.04	2786.26	7105.9	2876.52	1195.05	1553.44	8327.03	3330.22	8333.93	1513.39	4730.45	6279	6251.55	2546.04	2004.97
DYRK2	736.85	404.04	444.94	379.64	676.53	243.68	375.91	374.45	716.47	516.07	408.41	534.01	534.39	354.78	251.58	415.72	536.81	647.78	259.94	1055.14	283.46	362.22	419.35	494.16	531.08	343.23	704.08	402.36	388.66	227.17	1539.39	740.7	743.23	565.69	322.08	390.55	813.94	941.35	515.17	417.42
E2F1	936.95	838.9	537	1028.88	861.71	527.03	311.59	171.24	291.65	1270.92	952.01	216.56	915.36	669.01	487.36	479.53	602.55	458.69	407.47	1146.99	596.97	435.66	612.41	888.3	280.9	413.51	467.03	1539.01	691.9	380.75	354.4	146.09	793.69	362.08	200.49	690.77	528.54	482.75	465.01	489.86
FHIT	4.06	5.32	1.39	1.83	14.67	13.6	11.43	15.98	23.6	41.59	29.31	7.38	4.12	5.07	14.58	15.95	16.62	3.66	8.78	22.37	5.23	15.86	9.34	23.18	19.75	10.18	19.46	11.5	30.96	9.6	79.62	20.52	24.55	11.03	19.4	13.28	10.57	12.07	29.83	9.66
GSK3B	1749.51	1927.67	1954.1	1491.04	1540.07	1595.82	2133.96	2089.14	2205.05	1763.88	1130.69	2795.53	2052.1	1322.82	1306.52	1436.59	1582.97	2277.59	1289.15	3104.17	2096.59	1517.31	1320.32	1622.91	2045.33	1640.79	2780.95	2049.14	1638.99	1638.2	2206.04	2787.58	2899.28	1999.98	2244.22	1503.76	3002.08	3246.46	1862.76	1457.16
HIF1A	2644.54	2810.17	4852.48	3506.61	5373.75	5168.29	3466.08	3493.31	3398.6	8939.54	5389.69	5027.53	5882.4	1652.26	3449.83	3978.78	4892.69	5666.52	1445.46	3901.42	7343.93	2876.87	4228.76	4666.7	1918.05	3650.26	7656.47	6072.71	3668.79	15462.11	3353.56	4001.01	7741.87	3469.38	7539.8	4155.25	2790.67	2824.06	4453.54	3693.95
HIPK1	1976.65	2819.74	2572	2998.59	1758.25	2850.5	2881.49	3004.7	2402.29	2923.88	2085.54	3464.89	2674.01	2313.67	2357.21	1699.78	2220.93	2244.65	1852.93	6271.94	4131.78	2998.72	1679.46	2799.36	2939.62	2161.23	3090.54	6613.02	2161.12	2734.06	2841.47	3307.5	3743.42	2398.17	2404.61	2214.45	3192.35	3656.79	2952.76	1312.96
HMOX1	50.02	71.24	534.21	130.21	110.01	179.08	148.65	2417.92	252.87	762.55	38.76	125.5	45.3	452.34	230.92	330.98	79.47	1523.68	40.4	45.93	709.31	570.03	381.98	111.95	486.1	472.58	5949.33	2773.39	491.16	2777.26	5390.98	212.57	199.1	299.9	2320.54	231.14	95.14	60.34	1317.76	40.02
HRAS	98.7	64.86	132.51	133.88	69.67	92.94	134.36	180.37	128.12	107.84	68.07	216.56	98.85	91.23	54.08	58.82	65.75	164.69	84.3	187.24	66.62	62.6	82	56.97	110.83	118.14	83.15	162.38	68.34	76.79	95.24	103	96.82	117.35	75.02	94.32	169.13	132.75	73.21	57.96
HSPB1	438.05	24.45	111.58	612.56	253.01	44.2	644.62	436.09	131.49	238.78	342.23	807.16	67.96	352.25	27.95	24.92	20.23	828.33	12.29	45.93	214.23	66.77	226.28	312	161.3	198.61	136.22	513	38.44	59.19	151.44	159.22	55.91	242.73	172.04	496.82	63.42	96.55	631.77	26.22
IFI16	1458.82	156.3	545.36	950.01	1296.23	1391.81	741.81	1543.45	1412.71	725.58	1122.18	275.62	1780.27	1084.61	896.33	1314.96	1031.71	880.78	1204.85	367.41	1611.96	1183.47	1077.43	1271.17	1254.19	1002.19	2903.02	494.32	1566.39	740.71	1428.54	1091.15	1210.99	1283.84	1426.73	2368.55	412.26	615.5	1024.92	1737.28
IKBKB	312.32	215.84	224.56	326.45	262.18	231.21	458.81	353.9	386.05	258.8	282.67	607.83	345.96	253.41	238.82	223.31	239.87	340.36	347.75	407.45	364.45	309.64	223.17	352.4	384.05	448.14	479.41	209.8	358.76	195.18	346.6	425.13	486.85	520.56	250.94	406.49	739.95	724.12	204.71	248.38
ITPR1	509.71	816.58	1040.52	1043.55	1351.23	1553.89	1550.8	568.52	2527.04	765.63	1312.21	3090.84	1408.56	671.55	731.65	987.97	620.62	1006.43	639.31	1397.82	2116.18	994.85	977.78	1437.44	1482.43	1275.15	843.84	408.1	639.58	641.52	749.4	2393.22	1834.21	1809.41	818.78	1724.27	1712.45	1943.05	1072.37	845.87
MAEL	5.41	4.25	36.26	33.01	3.67	3.4	141.5	6.85	25.29	21.57	10.4	9.84	8.24	20.27	69.88	77.76	36.12	19.52	49.18	5.89	37.88	106.83	13.49	7.29	2.19	39.72	10.61	7.18	53.39	12.8	24.98	9.03	25.91	50.15	12.93	7.97	10.57	24.14	10.85	15.18
